CDRC Products,Level,Level Code,Classification Code,Classification Name
2021 OAC and UK-OAC,Supergroup,sg,1,Retired Professionals
2021 OAC and UK-OAC,Supergroup,sg,2,Suburbanites and Peri-Urbanites
2021 OAC and UK-OAC,Supergroup,sg,3,Multicultural and Educated Urbanites
2021 OAC and UK-OAC,Supergroup,sg,4,Low-Skilled Migrant and Student Communities
2021 OAC and UK-OAC,Supergroup,sg,5,Ethnically Diverse Suburb-an Professionals
2021 OAC and UK-OAC,Supergroup,sg,6,Baseline UK
2021 OAC and UK-OAC,Supergroup,sg,7,Semi- and Un-Skilled Workforce
2021 OAC and UK-OAC,Supergroup,sg,8,Legacy Communities
2021 OAC and UK-OAC,Group,g,1a ,Spacious Rural Living 
2021 OAC and UK-OAC,Group,g,1b,Small Town Suburbia 
2021 OAC and UK-OAC,Group,g,1c,Established Mature Families
2021 OAC and UK-OAC,Group,g,2a,Inner Suburbs and Small Town Living
2021 OAC and UK-OAC,Group,g,2b,Rural Amenity
2021 OAC and UK-OAC,Group,g,2c,Ageing Communities
2021 OAC and UK-OAC,Group,g,3a,Student Living and Professional Footholds 
2021 OAC and UK-OAC,Group,g,3b,Ethnically Diverse Young Families
2021 OAC and UK-OAC,Group,g,3c,Diverse Educated Urban Singles
2021 OAC and UK-OAC,Group,g,4a,Ethnically Diverse Families in Less Connected Locations 
2021 OAC and UK-OAC,Group,g,4b,Established Multi- Ethnic Communities
2021 OAC and UK-OAC,Group,g,4c,Challenged Multicultural Communities and Students
2021 OAC and UK-OAC,Group,g,5a,Outer Suburbs
2021 OAC and UK-OAC,Group,g,5b,Suburban Professionals
2021 OAC and UK-OAC,Group,g,6a,Challenged Communities
2021 OAC and UK-OAC,Group,g,6b,Legacy Industrial and Coastal Communities
2021 OAC and UK-OAC,Group,g,6c,Multicultural Inner Suburbs 
2021 OAC and UK-OAC,Group,g,7a,Established but Challenged 
2021 OAC and UK-OAC,Group,g,7b,Young Families in Industrial Towns
2021 OAC and UK-OAC,Group,g,8a,Routine Occupations or Retirement
2021 OAC and UK-OAC,Group,g,8b,Legacy and Demographically Mixed Communities
2021 OAC and UK-OAC,Subgroup,subg,1a1,Pre-Retirement Spacious Living 
2021 OAC and UK-OAC,Subgroup,subg,1a2,Retirement Spacious Living
2021 OAC and UK-OAC,Subgroup,subg,1b1,Younger Established Suburban Communities 
2021 OAC and UK-OAC,Subgroup,subg,1b2,Older Established Suburban Communities 
2021 OAC and UK-OAC,Subgroup,subg,1c1,Affluent Mature Families 
2021 OAC and UK-OAC,Subgroup,subg,1c2,Burgeoning Mature Families 
2021 OAC and UK-OAC,Subgroup,subg,2a1,Younger Suburban Family Renters 
2021 OAC and UK-OAC,Subgroup,subg,2a2,Settled Owner-Occupied Suburbs 
2021 OAC and UK-OAC,Subgroup,subg,2a3,Terraced Communities 
2021 OAC and UK-OAC,Subgroup,subg,2b1,Ageing Rural Communities 
2021 OAC and UK-OAC,Subgroup,subg,2b2,Rural Mix 
2021 OAC and UK-OAC,Subgroup,subg,2c1,Communal Retirement Living 
2021 OAC and UK-OAC,Subgroup,subg,2c2,Ageing Independent Living 
2021 OAC and UK-OAC,Subgroup,subg,3a1,University Centric 
2021 OAC and UK-OAC,Subgroup,subg,3a2,Professional Progression 
2021 OAC and UK-OAC,Subgroup,subg,3a3,Urbanite Mix
2021 OAC and UK-OAC,Subgroup,subg,3a4,Affluent Graduate Living 
2021 OAC and UK-OAC,Subgroup,subg,3b1,Private Rental Ethnic Minority Families 
2021 OAC and UK-OAC,Subgroup,subg,3b2,Young Ethnic Minority Families 
