,LSOA11CD,Region,Local Authority name,Score,score_normalized,LSOA21CD,oa21cd,Classification Name,Urban Rural Classification
747872,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747873,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747874,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747875,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747876,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065541,Pre-Retirement Spacious Living ,Rural village and dispersed
747877,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065541,Pre-Retirement Spacious Living ,Rural village and dispersed
747878,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065541,Pre-Retirement Spacious Living ,Rural village and dispersed
747879,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065541,Pre-Retirement Spacious Living ,Rural village and dispersed
747880,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747881,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747882,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747883,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065541,Pre-Retirement Spacious Living ,Rural village and dispersed
747884,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747885,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747886,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747887,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747888,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
747889,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065503,Ageing Rural Communities ,Rural village and dispersed
747890,E01012986,Yorkshire and The Humber,East Riding of Yorkshire,87.1,4.88,E01012986,E00065502,Ageing Rural Communities ,Rural village and dispersed
