,LSOA11CD,Region,Local Authority name,Score,score_normalized,LSOA21CD,oa21cd,Classification Name,Urban Rural Classification
107920,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107921,E01001725,London,Hackney,81.2,2.54,E01001725,E00008586,City Service Workers ,Urban major conurbation
107922,E01001725,London,Hackney,81.2,2.54,E01001725,E00008586,City Service Workers ,Urban major conurbation
107923,E01001725,London,Hackney,81.2,2.54,E01001725,E00008586,City Service Workers ,Urban major conurbation
107924,E01001725,London,Hackney,81.2,2.54,E01001725,E00008585,Young Ethnic Minority Families ,Urban major conurbation
107925,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107926,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107927,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107928,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107929,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107930,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107931,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107932,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107933,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107934,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107935,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107936,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107937,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107938,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107939,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107940,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107941,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107942,E01001725,London,Hackney,81.2,2.54,E01001725,E00008586,City Service Workers ,Urban major conurbation
107943,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107944,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107945,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107946,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107947,E01001725,London,Hackney,81.2,2.54,E01001725,E00008585,Young Ethnic Minority Families ,Urban major conurbation
107948,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107949,E01001725,London,Hackney,81.2,2.54,E01001725,E00008585,Young Ethnic Minority Families ,Urban major conurbation
107950,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107951,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107952,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107953,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107954,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107955,E01001725,London,Hackney,81.2,2.54,E01001725,E00008587,European Skilled Workforce ,Urban major conurbation
107956,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107957,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107958,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107959,E01001725,London,Hackney,81.2,2.54,E01001725,E00008594,City Service Workers ,Urban major conurbation
107977,E01001727,London,Hackney,81.7,2.74,E01001727,E00008581,Career Progression ,Urban major conurbation
107978,E01001727,London,Hackney,81.7,2.74,E01001727,E00008592,City Service Workers ,Urban major conurbation
107979,E01001727,London,Hackney,81.7,2.74,E01001727,E00008581,Career Progression ,Urban major conurbation
107980,E01001727,London,Hackney,81.7,2.74,E01001727,E00008590,City Service Workers ,Urban major conurbation
107981,E01001727,London,Hackney,81.7,2.74,E01001727,E00008596,Multi-Child Young Families ,Urban major conurbation
107982,E01001727,London,Hackney,81.7,2.74,E01001727,E00008596,Multi-Child Young Families ,Urban major conurbation
107983,E01001727,London,Hackney,81.7,2.74,E01001727,E00008596,Multi-Child Young Families ,Urban major conurbation
107984,E01001727,London,Hackney,81.7,2.74,E01001727,E00008592,City Service Workers ,Urban major conurbation
